period	optimal_ru	functional_category	num_loci	est_a	est_b	est_mean_s
3	5	Coding	432	0.4315992	0.0113957	0.0049184
3	6	Coding	170	0.1309964	0.0008199	0.0001074
3	7	Coding	66	0.8225053	0.0005298	0.0004357
3	8	Coding	33	0.2555402	0.0011219	0.0002867
3	9	Coding	18	0.8526799	0.0003914	0.0003337
3	10	Coding	11	0.9301403	4.78e-05	4.44e-05
3	11	Coding	6	0.2020368	0.0114415	0.0023116
3	12	Coding	4	0.8648944	5.27e-05	4.56e-05
3	13	Coding	3	0.2571802	0.0005039	0.0001296
3	5	Intron	8414	0.7125024	5.01e-05	3.57e-05
3	6	Intron	3692	0.8634647	7.8e-06	6.7e-06
3	7	Intron	1916	0.2189571	1.85e-05	4.1e-06
3	8	Intron	1004	0.0062055	0.0002152	1.3e-06
3	9	Intron	597	0.8267632	9.8e-06	8.1e-06
3	10	Intron	403	0.1823905	4.6e-05	8.4e-06
3	11	Intron	276	0.5322477	2.89e-05	1.54e-05
3	12	Intron	249	0.5447862	0.0001011	5.51e-05
3	13	Intron	239	0.8075253	0.0001183	9.55e-05
3	5	5'UTR	290	0.4194944	2.92e-05	1.22e-05
3	6	5'UTR	133	0.3296168	4.31e-05	1.42e-05
3	7	5'UTR	69	0.0889558	0.0001675	1.49e-05
3	8	5'UTR	48	0.2504688	1.87e-05	4.7e-06
3	9	5'UTR	15	0.1158151	0.0001444	1.67e-05
3	10	5'UTR	16	0.547403	4.1e-05	2.24e-05
3	11	5'UTR	6	0.4066186	0.0001347	5.48e-05
3	12	5'UTR	8	0.553521	0.0001778	9.84e-05
3	13	5'UTR	3	0.6634745	7.55e-05	5.01e-05
3	5	3'UTR	205	0.3131215	7.32e-05	2.29e-05
3	6	3'UTR	94	0.3186373	5.66e-05	1.81e-05
3	7	3'UTR	45	0.9594486	2.48e-05	2.37e-05
3	8	3'UTR	23	0.5890499	1.31e-05	7.7e-06
3	9	3'UTR	8	0.7631721	2.08e-05	1.59e-05
3	10	3'UTR	14	0.798751	7.59e-05	6.06e-05
3	11	3'UTR	7	0.3438895	5.28e-05	1.82e-05
3	12	3'UTR	2	0.076087	0.0011187	8.51e-05
3	13	3'UTR	3	0.3917844	0.000155	6.07e-05
3	5	Promoter	883	0.7661712	2.98e-05	2.28e-05
3	6	Promoter	370	0.1683609	0.000198	3.33e-05
3	7	Promoter	161	0.4688179	1.71e-05	8e-06
3	8	Promoter	92	0.687674	5.9e-06	4.1e-06
3	9	Promoter	60	0.4612532	2.09e-05	9.6e-06
3	10	Promoter	44	0.8245658	1.67e-05	1.38e-05
3	11	Promoter	28	0.0109851	0.0013907	1.53e-05
3	12	Promoter	30	0.9395083	2.66e-05	2.5e-05
3	13	Promoter	20	0.8370125	7.56e-05	6.33e-05
3	5	Intergenic	10299	0.0073685	0.0083799	6.17e-05
3	6	Intergenic	4581	0.8835464	7.7e-06	6.8e-06
3	7	Intergenic	2169	0.8154747	6.7e-06	5.5e-06
3	8	Intergenic	1030	0.7911293	1.8e-06	1.5e-06
3	9	Intergenic	636	0.4875969	1.63e-05	8e-06
3	10	Intergenic	473	0.3891743	2.8e-05	1.09e-05
3	11	Intergenic	352	0.1691827	8.65e-05	1.46e-05
3	12	Intergenic	312	0.8200805	6.8e-05	5.57e-05
3	13	Intergenic	279	0.5931515	0.0001672	9.92e-05
