Method	Ground truth a,b	Ground truth a	s values	Fraction of loci
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.946
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.051
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.003
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.934
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.057
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.009
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.943
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.051
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.006
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.95
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.045
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.005
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.943
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.054
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.003
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.955
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.037
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.008
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.953
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.042
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.005
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.944
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.054
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.002
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.939
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.053
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.008
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.938
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.055
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.007
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.951
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.045
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.004
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.945
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.049
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.006
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.947
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.046
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.007
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.954
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.044
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.002
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.953
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.042
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.005
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.964
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.031
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.005
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.939
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.055
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.006
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.947
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.048
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.005
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.942
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.054
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-3<=s<10^-2	0.004
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 s>=10^-2	0.0
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 0<=s<10^-4	0.951
Per locus	(2.0E-01,5.0E-05)	0.2	5.0E-05 10^-4<=s<10^-3	0.044
