chrom	start	end	optimal_ru	coding	period	obs_het	ABC_s_median	ABC_s_95%_CI	Num_s_accepted(max_5000)	Likelihood_0	Likelihood_s	LR	LogLR	LRT_p_value
chr1	435605	435622	6	0.0	3	0.000817	0.00037	(0 , 0.02781)	453	0.115	0.105	1.0952381	-0.1819436	1.0
chr1	670584	670601	6	0.0	3	0.0016395	0.00028	(0 , 0.01483)	153	0.06	0.025	2.4	-1.7509375	1.0
chr1	850648	850662	5	0.0	3	0.0089933	0.0001	(0 , 0.01349)	8	0.01	0.005	2.0	-1.3862944	1.0
chr1	960278	960295	6	0.0	3	0.0005444	0.00041	(0 , 0.04426)	1045	0.19	0.245	0.7755102	0.5084683	0.4758027
chr1	1111533	1111547	5	0.0	3	0.0018585	1e-05	(0 , 0.00894)	19	0.015	0.005	3.0	-2.1972246	1.0
chr1	1170255	1170272	6	0.0	3	0.0016063	0.00028	(0 , 0.01483)	153	0.06	0.025	2.4	-1.7509375	1.0
chr1	1189727	1189741	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	1193329	1193346	6	0.0	3	0.0	0.00075	(0 , 0.05658)	3582	0.695	0.675	1.0296296	-0.0583983	1.0
chr1	1273804	1273818	5	0.0	3	0.1616245	0.0	(0 , 8e-05)	3	0.005	0.005	1.0	-0.0	1.0
chr1	1379092	1379106	5	0.0	3	0.1412266	0.0	(0 , 0)	3	0.005	0.005	1.0	-0.0	1.0
chr1	1399284	1399304	7	1.0	3	0.0068951	0.00013	(0 , 0.00764)	167	0.04	0.05	0.8	0.4462871	0.5041034
chr1	1420962	1420976	5	1.0	3	0.0050344	0.0001	(0 , 0.01319)	9	0.015	0.005	3.0	-2.1972246	1.0
chr1	1558375	1558389	5	0.0	3	0.001062	0.00024	(0 , 0.01235)	45	0.02	0.02	1.0	-0.0	1.0
chr1	1585950	1585976	17	0.0	3	0.7763043	0.00027	(0 , 0.00436)	2556	0.555	0.795	0.6981132	0.718748	0.3965549
chr1	1599986	1600000	5	1.0	3	0.0010744	0.00024	(0 , 0.01235)	45	0.02	0.02	1.0	-0.0	1.0
chr1	1608732	1608746	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	1654013	1654030	6	0.0	3	0.0013278	0.00027	(0 , 0.01575)	240	0.065	0.05	1.3	-0.5247285	1.0
chr1	1752909	1752935	9	1.0	3	0.5060231	1e-05	(0 , 0.00091)	1220	0.53	0.485	1.0927835	-0.1774562	1.0
chr1	1861458	1861478	7	0.0	3	0.0053018	0.00015	(0 , 0.0086)	221	0.07	0.08	0.875	0.2670628	0.6053089
chr1	1879927	1879941	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	1891015	1891032	6	0.0	3	0.0096392	4e-05	(0 , 0.0035)	38	0.01	0.015	0.6666667	0.8109302	0.3678454
chr1	2162609	2162626	6	0.0	3	0.0	0.00075	(0 , 0.05658)	3582	0.695	0.675	1.0296296	-0.0583983	1.0
chr1	2192907	2192924	6	0.0	3	0.0547228	3e-05	(0 , 0.00591)	15	0.005	0.015	0.3333333	2.1972246	0.1382595
chr1	2252109	2252123	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	2290665	2290679	5	0.0	3	0.0015959	0.00011	(0 , 0.01166)	27	0.015	0.02	0.75	0.5753641	0.4481352
chr1	2529506	2529523	6	1.0	3	0.0360069	0.00011	(0 , 0.00588)	19	0.01	0.005	2.0	-1.3862944	1.0
chr1	2629380	2629400	7	1.0	3	0.001062	0.00053	(0 , 0.02498)	1103	0.22	0.22	1.0	-0.0	1.0
chr1	2941869	2941886	6	0.0	3	0.0	0.00075	(0 , 0.05658)	3582	0.695	0.675	1.0296296	-0.0583983	1.0
chr1	3069057	3069080	8	0.0	3	0.0306014	7e-05	(0 , 0.00472)	274	0.04	0.09	0.4444444	1.6218604	0.2028326
chr1	3088290	3088304	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	3109084	3109116	11	0.0	3	0.580776	0.00027	(0 , 0.00514)	2952	0.65	0.815	0.797546	0.4524315	0.5011825
chr1	3610474	3610500	9	0.0	3	0.0505821	0.00102	(0 , 0.00729)	592	0.07	0.235	0.2978723	2.4221805	0.1196283
chr1	3613037	3613051	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	3659675	3659695	7	0.0	3	0.0002656	0.00165	(0 , 0.07292)	2745	0.41	0.59	0.6949153	0.7279308	0.3935547
chr1	3710906	3710920	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	3847833	3847853	7	0.0	3	0.0002657	0.00165	(0 , 0.07292)	2745	0.41	0.59	0.6949153	0.7279308	0.3935547
chr1	3898519	3898554	12	0.0	3	0.7009161	0.00027	(0 , 0.00496)	2907	0.645	0.865	0.7456647	0.5869584	0.4435977
chr1	4035421	4035438	6	0.0	3	0.2701252	4e-05	(0 , 0.00199)	19	0.015	0.005	3.0	-2.1972246	1.0
chr1	4155077	4155106	10	0.0	3	0.6869164	4e-05	(0 , 0.00139)	1395	0.48	0.51	0.9411765	0.1212492	0.7276835
chr1	4269954	4269968	5	0.0	3	0.0002656	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	4284988	4285002	5	0.0	3	0.0002656	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	4487604	4487621	6	0.0	3	0.00477	0.00013	(0 , 0.01111)	69	0.01	0.03	0.3333333	2.1972246	0.1382595
chr1	4493680	4493694	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	4651883	4651918	12	0.0	3	0.7551191	0.00027	(0 , 0.00454)	2679	0.59	0.815	0.7239264	0.6461312	0.4214993
chr1	4747426	4747440	5	0.0	3	0.0002661	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	4767737	4767751	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	4823725	4823742	6	0.0	3	0.0005312	0.00041	(0 , 0.04426)	1045	0.19	0.245	0.7755102	0.5084683	0.4758027
chr1	4905404	4905418	5	0.0	3	0.0013274	0.00019	(0 , 0.01226)	48	0.02	0.02	1.0	-0.0	1.0
chr1	5067855	5067869	5	0.0	3	0.0018575	1e-05	(0 , 0.00894)	19	0.015	0.005	3.0	-2.1972246	1.0
chr1	5134595	5134612	6	0.0	3	0.016883	0.0001	(0 , 0.00606)	21	0.02	0.005	4.0	-2.7725887	1.0
chr1	5247648	5247668	7	0.0	3	0.0023927	0.00025	(0 , 0.01356)	577	0.125	0.155	0.8064516	0.4302228	0.5118797
chr1	5248145	5248159	5	0.0	3	0.0002656	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	5295188	5295202	5	0.0	3	0.0002657	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	5316107	5316124	6	0.0	3	0.0	0.00075	(0 , 0.05658)	3582	0.695	0.675	1.0296296	-0.0583983	1.0
chr1	5479118	5479138	7	0.0	3	0.0116397	7e-05	(0 , 0.00649)	107	0.025	0.045	0.5555556	1.1755733	0.278259
chr1	5561862	5561888	9	0.0	3	0.2112375	8e-05	(0 , 0.00242)	489	0.135	0.145	0.9310345	0.1429179	0.7053973
chr1	5901260	5901274	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	5981158	5981172	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	6052102	6052116	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	6088704	6088730	8	0.0	3	0.4757195	0.0	(0 , 0.00066)	477	0.265	0.265	1.0	-0.0	1.0
chr1	6140968	6141000	10	0.0	3	0.63631	5e-05	(0 , 0.00144)	1577	0.535	0.48	1.1145833	-0.2169613	1.0
chr1	6147844	6147858	5	0.0	3	0.0060902	0.00016	(0 , 0.01319)	9	0.01	0.005	2.0	-1.3862944	1.0
chr1	6223105	6223119	5	0.0	3	0.0013282	0.00019	(0 , 0.01226)	48	0.02	0.02	1.0	-0.0	1.0
chr1	6235293	6235307	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	6261038	6261055	6	0.0	3	0.0007985	0.00037	(0 , 0.02781)	453	0.115	0.105	1.0952381	-0.1819436	1.0
chr1	6341041	6341055	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	6370460	6370504	15	0.0	3	0.6580996	0.00028	(0 , 0.00551)	3075	0.67	0.905	0.7403315	0.6013145	0.4380769
chr1	6457182	6457199	6	1.0	3	0.0002656	0.00067	(0 , 0.05404)	4518	0.86	0.895	0.9608939	0.0797827	0.7775922
chr1	6475951	6475968	6	1.0	3	0.0	0.00075	(0 , 0.05658)	3582	0.695	0.675	1.0296296	-0.0583983	1.0
chr1	6493648	6493662	5	0.0	3	0.0015924	0.00011	(0 , 0.01166)	27	0.015	0.02	0.75	0.5753641	0.4481352
chr1	6539479	6539496	5	0.0	3	0.2230999	4e-05	(0 , 9e-05)	2	0.005	0.005	1.0	-0.0	1.0
chr1	6578783	6578803	7	1.0	3	0.0007966	0.00058	(0 , 0.03018)	1572	0.27	0.29	0.9310345	0.1429179	0.7053973
chr1	6612059	6612079	7	0.0	3	0.0234121	6e-05	(0 , 0.00528)	68	0.035	0.02	1.75	-1.1192316	1.0
chr1	6613797	6613811	5	0.0	3	0.0072116	0.00013	(0 , 0.0131)	9	0.01	0.005	2.0	-1.3862944	1.0
chr1	6620009	6620023	5	1.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	6711560	6711580	9	0.0	3	0.5093264	1e-05	(0 , 0.0009)	1217	0.53	0.485	1.0927835	-0.1774562	1.0
chr1	6751864	6751881	6	0.0	3	0.0013424	0.00027	(0 , 0.01575)	240	0.065	0.05	1.3	-0.5247285	1.0
chr1	6770285	6770302	6	0.0	3	0.0205488	9e-05	(0 , 0.00584)	21	0.015	0.015	1.0	-0.0	1.0
chr1	6833020	6833040	7	0.0	3	0.006091	0.00014	(0 , 0.00758)	181	0.045	0.055	0.8181818	0.4013414	0.5263973
chr1	6872234	6872263	10	0.0	3	0.493891	6e-05	(0 , 0.00183)	1802	0.58	0.55	1.0545455	-0.1062197	1.0
chr1	7067419	7067436	6	0.0	3	0.3403747	0.0	(0 , 0.0014)	34	0.015	0.015	1.0	-0.0	1.0
chr1	7080532	7080549	6	0.0	3	0.0002656	0.00067	(0 , 0.05404)	4518	0.86	0.895	0.9608939	0.0797827	0.7775922
chr1	7134469	7134489	7	0.0	3	0.0246551	5e-05	(0 , 0.00534)	62	0.035	0.025	1.4	-0.6729445	1.0
chr1	7209090	7209107	6	0.0	3	0.2681555	4e-05	(0 , 0.00199)	19	0.015	0.005	3.0	-2.1972246	1.0
chr1	7418200	7418214	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	7473416	7473430	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	7523892	7523909	6	0.0	3	0.0002657	0.00067	(0 , 0.05404)	4518	0.86	0.895	0.9608939	0.0797827	0.7775922
chr1	7542260	7542280	7	0.0	3	0.2425924	3e-05	(0 , 0.00086)	68	0.055	0.03	1.8333333	-1.2122716	1.0
chr1	7735769	7735783	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	7778154	7778168	5	1.0	3	0.0005311	0.00044	(0 , 0.03103)	288	0.065	0.085	0.7647059	0.536528	0.4638752
chr1	7834452	7834469	6	0.0	3	0.0005311	0.00041	(0 , 0.04426)	1045	0.19	0.245	0.7755102	0.5084683	0.4758027
chr1	7849212	7849229	6	0.0	3	0.0002657	0.00067	(0 , 0.05404)	4518	0.86	0.895	0.9608939	0.0797827	0.7775922
chr1	7855683	7855709	8	0.0	3	0.2036622	3e-05	(0 , 0.00188)	228	0.09	0.055	1.6363636	-0.984953	1.0
chr1	7879740	7879757	6	0.0	3	0.2881947	2e-05	(0 , 0.00191)	22	0.015	0.015	1.0	-0.0	1.0
chr1	7942207	7942239	10	0.0	3	0.4787164	6e-05	(0 , 0.00196)	1771	0.575	0.54	1.0648148	-0.1256018	1.0
chr1	8059743	8059757	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	8060811	8060825	5	0.0	3	0.0018575	1e-05	(0 , 0.00894)	19	0.015	0.005	3.0	-2.1972246	1.0
chr1	8061108	8061143	12	0.0	3	0.3529399	0.00457	(0 , 0.01303)	1136	0.185	0.39	0.474359	1.4915818	0.2219712
chr1	8069458	8069481	13	0.0	3	0.6878169	0.00027	(0 , 0.00519)	2966	0.65	0.895	0.726257	0.6397027	0.4238185
